gov,name,name_clean,position,date_start,date_end,ministry
Renner III,Alois Haueis,Alois Haueis,Staatssekretär,1920-02-13,1920-07-07,Staatsamt für Land- und Forstwirtschaft
Renner III,Dr. Karl Renner,Karl Renner,Betraut mit der einstweiliger Führung des Staatsamtes,1920-06-25,1920-07-07,Staatsamt für Land- und Forstwirtschaft
Renner III,Josef Stöckler,Josef Stöckler,Staatssekretär,1919-10-17,1920-06-24,Staatsamt für Land- und Forstwirtschaft
Renner III,Ferdinand Hanusch,Ferdinand Hanusch,Staatssekretär,1919-10-17,1920-07-07,Staatsamt für soziale Verwaltung
Renner III,Dr. Julius Tandler,Julius Tandler,Unterstaatssekretär für Volksgesundheit,1919-10-17,1920-07-07,Staatsamt für soziale Verwaltung
Renner III,Dr. Josef Resch,Josef Resch,Unterstaatssekretär,1919-10-17,1920-06-24,Staatsamt für soziale Verwaltung
Renner III,Ferdinand Hanusch,Ferdinand Hanusch,Betraut mit der einstweiligen Führung des Staatsamtes,1920-07-01,1920-07-07,Staatsamt für Verkehrswesen
Renner III,Ludwig Paul,Ludwig Paul,Staatssekretär,1919-10-17,1920-07-01,Staatsamt für Verkehrswesen
Renner III,Johann Löwenfeld-Russ,Johann Löwenfeld-Russ,Staatssekretär,1919-10-17,1920-07-07,Staatsamt für Volksernährung
Renner III,Dr. Michael Mayr,Michael Mayr,Staatssekretär ohne Portefeuille betraut mit der Mitarbeit an der Verfassungs- und Verwaltungsreform,1919-10-17,1920-06-24,Staatsamt ohne Portefeuille
Renner II,Dr. Karl Renner,Karl Renner,Staatskanzler,1919-03-15,1919-10-17,Staatskanzlei
Renner II,Dr. h.c. Jodok Fink,Jodok Fink,Vizekanzler,1919-03-15,1919-10-17,Staatskanzlei
Renner II,Dr. Karl Renner,Karl Renner,Leiter des Staatsamtes,1919-07-26,1919-10-17,Staatsamt für Äußeres
Renner II,Dr. Otto Bauer,Otto Bauer,Staatssekretär,1919-03-15,1919-07-26,Staatsamt für Äußeres
Renner II,Egon Pflügl,Egon Pflügl,Unterstaatssekretär,1919-04-04,1919-10-17,Staatsamt für Äußeres
Renner II,Josef Schumpeter,Josef Schumpeter,Staatssekretär,1919-03-15,1919-10-17,Staatsamt für Finanzen
